ID;ISO 3166-2;Code Géographique;Provinces;Ménages;Population;Etrangers;Marocains;Densite population;Pop totale;Pop urbaine;Pop rurale;Pop masculine;Pop féminine;Taux scolarisation 7-12 ans;Taux scolarisation 7-12 ans URBAINS;Taux scolarisation 7-12 ans RURAUX;Taux analphabétisme pop sup 10 ans;Taux analphabétisme pop sup 10 ans URBAINS;Taux analphabétisme pop sup 10 ans RURAL
427;MA-REH;427;Province  Rehamna;57514;315077;65;315012;54.3241419515;311457;103063;208394;160444;151013;93.589392;97.575545;91.777157;44.478472;28.112676;52.796972
431;MA-SAF;431;Province  Safi;144490;691983;396;691587;167.324969319;691983;345890;346093;350516;341467;94.417018;97.77988;91.80501;36.539396;22.850416;51.248811
441;MA-SAL;441;Préfecture  Salé;231340;982163;2347;979816;1383.88722645;973418;907899;65519;483382;490036;97.561661;98.215015;90.29653;21.651789;20.078417;44.946903
451;MA-SEF;451;Province  Sefrou;66034;286489;203;286286;81.0681995551;285938;155077;130861;138871;147067;94.999671;97.917958;91.687764;37.067716;27.069113;49.291451
461;MA-SET;461;Province  Settat;119283;634184;609;633575;92.2000145443;631725;216430;415295;319446;312279;92.220512;97.42622;89.906829;41.994624;25.285968;51.13965
467;MA-SIB;467;Province  Sidi Bennour;87032;452448;90;452358;141.46695509;452448;85682;366766;229023;223425;92.548527;96.596669;91.684694;47.80541;28.23782;52.467429
473;MA-TNT;473;Province  Sidi Ifni;25308;115691;102;115589;38.8100456314;115055;30956;84099;54207;60848;95.845088;98.631657;95.007228;43.255199;27.094093;49.309031
481;MA-SIK;481;Province  Sidi Kacem;99191;522270;95;522175;166.572839022;522070;168434;353636;264169;257901;95.440685;97.527179;94.584095;40.405243;26.927136;47.130151
491;MA-SIL;491;Province  Sidi Slimane;60922;320407;92;320315;216.988244496;320205;130913;189292;160086;160119;93.806372;96.70338;92.103746;38.738018;26.48923;47.666685
501;MA-SKH;501;Préfecture  Skhirate- Témara;135200;574543;2776;571767;527.342314702;572170;515390;56780;286644;285526;97.862646;98.176102;95.311507;22.229058;20.66891;36.797509
